no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
416;getInstance(ASN1TaggedObject,boolean):DERInteger;0;0;0;invisible;1;0;0;
417;getInstance(Object):ASN1Sequence;0;0;0;invisible;1;0;0;
418;getInstance(ASN1TaggedObject,boolean):ASN1Sequence;0;0;0;invisible;1;0;0;
419;getInstance(Object):DERBMPString;0;0;0;invisible;1;0;0;
420;getInstance(ASN1TaggedObject,boolean):DERBMPString;0;0;0;invisible;1;0;0;
421;getPadBits(int):int;0;0;0;invisible;1;0;0;
422;getBytes(int):byte[];0;0;0;invisible;1;0;0;
423;getInstance(Object):DERBitString;0;0;0;invisible;1;0;0;
424;getInstance(ASN1TaggedObject,boolean):DERBitString;0;0;0;invisible;1;0;0;
425;getInstance(Object):DERIA5String;0;0;0;invisible;1;0;0;
426;getInstance(ASN1TaggedObject,boolean):DERIA5String;0;0;0;invisible;1;0;0;
427;isIA5String(String):boolean;0;0;0;invisible;1;0;0;
428;getInstance(Object):DERT61String;0;0;0;invisible;1;0;0;
429;getInstance(ASN1TaggedObject,boolean):DERT61String;0;0;0;invisible;1;0;0;
430;getInstance(Object):DEREnumerated;0;0;0;invisible;1;0;0;
431;getInstance(ASN1TaggedObject,boolean):DEREnumerated;0;0;0;invisible;1;0;0;
432;getInstance(Object):DERUTF8String;0;0;0;invisible;1;0;0;
433;getInstance(ASN1TaggedObject,boolean):DERUTF8String;0;0;0;invisible;1;0;0;
434;readTagNumber(InputStream,int):int;0;0;0;invisible;1;0;0;
